survey_year,generation_label,n,sum_weights,weighted_mean,weighted_se,ci_lower,ci_upper,variable
2004,3rd+ Generation,379,379,1.237467018469657,0.4260932665425956,0.40232421604616964,2.0726098208931445,legalization_support
2010,1st Generation,383,383,1.1018276762402088,0.30281714207700655,0.508306077769276,1.6953492747111416,legalization_support
2010,2nd Generation,661,661,1.0741301059001513,0.26218090218597134,0.5602555376156475,1.5880046741846552,legalization_support
2010,3rd+ Generation,239,239,1.1338912133891212,0.3412500572324148,0.4650411012135882,1.8027413255646543,legalization_support
2021,1st Generation,3057,3057,-1.7134445534838076,0.8882186694328134,-3.4543531455721217,0.027464038604506413,legalization_support
2021,2nd Generation,21,21,-1.8095238095238095,0.8135752957807667,-3.404131389254112,-0.21491622979350677,legalization_support
2021,3rd+ Generation,125,125,-1.608,0.7920573455941671,-3.1604323973645676,-0.05556760263543259,legalization_support
2022,1st Generation,2111,2111,-1.8384651823780198,0.9398791460050643,-3.680628308547946,0.003697943791906244,legalization_support
2022,2nd Generation,4911,4911,-2.3276318468743638,1.0336340059835714,-4.353554498602163,-0.301709195146564,legalization_support
2022,3rd+ Generation,495,495,-2.088888888888889,1.0041300229621402,-4.0569837338946835,-0.12079404388309434,legalization_support
2011,1st Generation,718,718,1.0473537604456824,0.21254246321111223,0.6307705325519024,1.4639369883394624,daca_support
2011,2nd Generation,219,219,1.095890410958904,0.29511544444476345,0.5174641398471677,1.6743166820706405,daca_support
2011,3rd+ Generation,257,257,1.1284046692607004,0.3351926097083784,0.47142715423227877,1.785382184289122,daca_support
2012,1st Generation,550,550,1.6127272727272728,0.7349100152974736,0.1723036427442246,3.053150902710321,daca_support
2012,2nd Generation,1148,1148,1.6437282229965158,0.748893309154634,0.17589733705343313,3.1115591089395984,daca_support
2012,3rd+ Generation,9,9,1.7777777777777777,1.0929064207170003,-0.3643188068275429,3.9198743623830983,daca_support
2018,1st Generation,731,731,1.0465116279069768,0.21073454265342006,0.6334719243062735,1.4595513315076802,daca_support
2018,2nd Generation,324,324,1.1141975308641976,0.31854298404985015,0.48985328212649126,1.738541779601904,daca_support
2018,3rd+ Generation,384,384,1.1979166666666667,0.3989487927685988,0.41597703284021315,1.9798563004931204,daca_support
2021,1st Generation,3060,3060,-1.646078431372549,0.8541388076335001,-3.3201904943342093,0.028033631589111208,daca_support
2021,2nd Generation,21,21,-1.9523809523809523,0.9206622874969124,-3.7568790358749005,-0.1478828688870042,daca_support
2021,3rd+ Generation,123,123,-1.7317073170731707,0.9060196749185216,-3.507505879913473,0.04409124576713164,daca_support
2010,1st Generation,373,373,2.1260053619302948,0.589052793491009,0.971461886687917,3.2805488371726725,deportation_policy_support
2010,2nd Generation,653,653,2.238897396630934,0.5948810343067543,1.0729305693896956,3.4048642238721722,deportation_policy_support
2010,3rd+ Generation,244,244,2.0081967213114753,0.7313767573155913,0.5746982769729165,3.4416951656500343,deportation_policy_support
2021,1st Generation,3037,3037,2.5225551531116235,1.0159636501094846,0.5312663988970336,4.513843907326214,deportation_policy_support
2021,2nd Generation,21,21,2.2857142857142856,1.0555973258234952,0.21674352710023514,4.3546850443283365,deportation_policy_support
2021,3rd+ Generation,125,125,2.208,0.9184137798224398,0.4079089915480183,4.0080910084519825,deportation_policy_support
2022,1st Generation,2087,2087,2.5385721130809773,1.0294430968226818,0.520863643308521,4.556280582853434,deportation_policy_support
2022,2nd Generation,4910,4910,2.2384928716904278,1.0309653531674714,0.21780077948218368,4.259184963898672,deportation_policy_support
2022,3rd+ Generation,494,494,2.3421052631578947,1.0301580360123805,0.322995512573629,4.361215013742161,deportation_policy_support
2010,1st Generation,376,376,1.4414893617021276,0.49722634941562593,0.46692571684750084,2.4160530065567545,border_security_support
2010,2nd Generation,653,653,1.566615620214395,0.4959223613920252,0.5946077918860256,2.5386234485427646,border_security_support
2010,3rd+ Generation,243,243,1.3045267489711934,0.46115656157267854,0.40065988828874344,2.208393609653643,border_security_support
2021,1st Generation,3044,3044,1.8488830486202366,0.916939250269053,0.051682118092892804,3.6460839791475803,border_security_support
2021,2nd Generation,21,21,1.8571428571428572,1.0623424252901832,-0.22504829642590174,3.939334010711616,border_security_support
2021,3rd+ Generation,125,125,1.504,0.6794684829738893,0.17224177337117696,2.835758226628823,border_security_support
2022,1st Generation,2106,2106,1.8338081671415005,0.9065171423936027,0.05703456805003926,3.610581766232962,border_security_support
2022,2nd Generation,4929,4929,1.8571718401298438,0.951273174480425,-0.007323581851789163,3.7216672621114766,border_security_support
2022,3rd+ Generation,495,495,1.997979797979798,1.0070580673466922,0.02414598598028128,3.9718136099793147,border_security_support
