survey_year,generation_label,n,liberalism_mean,liberalism_se,liberalism_ci_lower,liberalism_ci_upper,restrictionism_mean,restrictionism_se,restrictionism_ci_lower,restrictionism_ci_upper,net_liberalism_mean,net_liberalism_se
2012,1st Generation,564,-0.03395906028207646,0.04202232733629581,-0.11632282186121624,0.04840470129706333,0.0013165403345813894,0.04454665388717935,-0.08599490128429013,0.08862798195345292,-0.030115936706734448,0.05537372837248686
2012,2nd Generation,1174,0.007613070668903948,0.02963986946444377,-0.05048107348140585,0.06570721481921374,-0.005790887019185451,0.028714245330209085,-0.06207080786639526,0.05048903382802435,0.013608493266355107,0.037535904274976245
2015,1st Generation,795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,2nd Generation,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,3rd+ Generation,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1st Generation,818,NA,NA,NA,NA,-0.1474453686440533,0.029116305230285626,-0.20451332689541313,-0.09037741039269348,NA,NA
2016,2nd Generation,689,NA,NA,NA,NA,0.1736819710057161,0.0441214042562016,0.08720401866356098,0.26015992334787125,NA,NA
2018,1st Generation,756,-0.18313311609456184,0.0257512378117982,-0.2336055422056863,-0.13266068998343739,-0.13934600066745445,0.024969229258577377,-0.1882856900142661,-0.0904063113206428,-0.04331299940963811,0.03425749213938969
2018,2nd Generation,337,0.040491339327085894,0.0584677805243662,-0.07410551050067185,0.15508818915484365,0.14092437672617167,0.039643998120960214,0.06322214040908965,0.2186266130432537,-0.09775075727309082,0.06329311852727103
2018,3rd+ Generation,405,0.3170872822670905,0.06726243913315023,0.18525290156611604,0.4489216629680649,0.12907755331100962,0.03633994485242608,0.0578512614002545,0.20030384522176475,0.22159725175817582,0.07392841390866003
2021,1st Generation,3084,-0.0010721331773317806,0.016155550158705536,-0.03273701148839463,0.03059274513373107,0.016490283373692724,0.01590265681589648,-0.014678923985464377,0.04765949073284982,-0.017076553040042894,0.01783366695339585
2021,3rd+ Generation,125,0.0030878020429373977,0.0773173821444022,-0.1484542669600909,0.1546298710459657,-0.32842047125565305,0.06104387601692289,-0.4480664682488219,-0.2087744742624842,0.3315082732985904,0.0850065893977508
2022,1st Generation,2141,0.3251124955621864,0.01989331663227922,0.2861215949629191,0.3641033961614537,0.08573846997411148,0.018168190265549375,0.05012881705363471,0.12134812289458827,0.24057462600499308,0.023649493669275275
2022,2nd Generation,4962,-0.15059079051882635,0.014343697579927026,-0.1787044377754833,-0.12247714326216938,-0.045160970479254305,0.0130880875514632,-0.07081362208012218,-0.019508318878386433,-0.10637647511075425,0.014446185185513107
2022,3rd+ Generation,503,0.08158122340883263,0.04389010816821346,-0.0044433886008657525,0.16760583541853102,0.0836334259500727,0.04218066289975557,9.593266665517824e-4,0.1663075252335936,-0.0015167702535764003,0.04829207998252561
2023,1st Generation,2314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2nd Generation,1597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3rd+ Generation,1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
