year,raw_name,concept,harmonized_name,values_recode,manual_review_needed,harmonization_notes,original_label
2002,RQN105,age,age,Continuous variable (years),YES - Indirect age measure,Age in years at time of survey,What is your age?
2002,RQN55,age,age,Continuous variable (years),YES - Indirect age measure,Age in years at time of survey,In what language are the news programs you usually watch on TV or listen to on the radio?
2002,SABORN,age,age,Continuous variable (years),NO,Age in years at time of survey,Table for South Americans
2002,SALBORN,age,age,Continuous variable (years),NO,Age in years at time of survey,Table for Salvadorans
2002,CITIZEN2,citizenship_status,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other/Non-citizen",NO,Citizenship/legal status,Recoded citizen
2002,QN11_34,citizenship_status,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other/Non-citizen",YES - Long/complex label,Citizenship/legal status,Q.11 What do you think are the two most important issues for the government to address?- Senior citizens/more help for the elderly
2002,QN26,citizenship_status,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other/Non-citizen",YES - Long/complex label,Citizenship/legal status,Q.26 What would you think of a proposal that would give many of the undocumented or illegal Latino/Hispanic immigrants working in the U.S. a chance to obtain legal status? Is this something you wou...
2002,QN68,citizenship_status,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other/Non-citizen",NO,Citizenship/legal status,Q.68 Now we would like to ask you about US citizenship. Are you...?
2002,QN69,citizenship_status,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other/Non-citizen",NO,Citizenship/legal status,Q.69 What year did you become a citizen?
2002,QN83,citizenship_status,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other/Non-citizen",YES - Long/complex label,Citizenship/legal status,"Q.83 As you may know, some countries allow people to be legal citizens of their country even if they are also US citizens. Are you a legal citizen of your country or origin?"
2002,REC_69,citizenship_status,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other/Non-citizen",NO,Citizenship/legal status,1996 Citizen
2002,RQN69,citizenship_status,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other/Non-citizen",NO,Citizenship/legal status,What year did you become a citizen?
2002,EDUC,education,education,"1=<HS, 2=HS, 3=Some college, 4=College+",NO,Educational attainment categories,Education
2002,QN101,education,education,"1=<HS, 2=HS, 3=Some college, 4=College+",NO,Educational attainment categories,Q.101 What is the last grade or class that you completed in school?
2002,QN15C,employment,employment_status,"1=Employed, 2=Unemployed, 3=Not in labor force",YES - Long/complex label,Employment status,"Q.15c For each of the following, please tell me whether or not it is something that has happened to you or your immediate family during the past year. Have you lost your job or been laid off?"
2002,QN16,employment,employment_status,"1=Employed, 2=Unemployed, 3=Not in labor force",YES - Multiple questions,Employment status,Q.16 What is your employment status? Are you.... ?
2002,QN17,employment,employment_status,"1=Employed, 2=Unemployed, 3=Not in labor force",NO,Employment status,Q.17 How long have you been self-employed/with your current employer?
2002,QN18,employment,employment_status,"1=Employed, 2=Unemployed, 3=Not in labor force",NO,Employment status,Q.18 What type of work or occupation do you have?
2002,QN29A,employment,employment_status,"1=Employed, 2=Unemployed, 3=Not in labor force",YES - Long/complex label,Employment status,Q.29a Do you agree or disagree that you can be more successful in American workplaces if you do each of the following. How about... Be willing to work long hours at the expense of your personal life
2002,QN29C,employment,employment_status,"1=Employed, 2=Unemployed, 3=Not in labor force",YES - Long/complex label,Employment status,Q.29c Do you agree or disagree that you can be more successful in American workplaces if you do each of the following. How about... Do what is best for yourself rather than what is best for others
2002,QN36,employment,employment_status,"1=Employed, 2=Unemployed, 3=Not in labor force",YES - Long/complex label,Employment status,Q.36 How would you rate the job religious institutions are doing in helping to solve your community's most important problems?
2002,QN96,employment,employment_status,"1=Employed, 2=Unemployed, 3=Not in labor force",YES - Complex question type,Employment status,Q.96 Are any other adults in your household currently employed?
2002,COUNTL1,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,Latino
2002,COUNTL2,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,Latino- Puerto Rican/Mexican/Cuban/Salvadoran/Dominican/Columbian
2002,COUNTL2B,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,Latino- Puerto Rican/Mexican/Cuban/Salvadoran/Dominican/Columbian/Other Central American/Other South American/Other
2002,COUNTL2C,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Complex question type,Hispanic origin/ethnicity categories,Latino- Puerto Rican/Mexican/Cuban/Dominican//Other Central American/Other South American/Other
2002,COUNTL2D,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,"Dominicans, Puerto Ricans, Mexicans, and Cubans, Central Americans, South Americans"
2002,COUNTL2E,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,"Dominicans, Puerto Ricans, Mexicans, Cubans, Central and South Americans combined"
2002,COUNTN1,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,Count- Non-Latino
2002,COUNTN2,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Complex question type,Hispanic origin/ethnicity categories,Non-Latino White/African-American/Asian/Other
2002,COUNTNL,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,count Non-Latino and Latinos
2002,COUNTOCA,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Complex question type,Hispanic origin/ethnicity categories,Count- Other Central American
2002,COUNTSA,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,Count- Total South American
2002,COUNTTCA,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,Count- Total Central American
2002,LAT_W_B,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,"Latinos, Non Latino Whites, Non Latino Blacks"
2002,MEX_PR,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,"CA Mexicans, TX Mexicans, PR"
2002,QN1,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.1 Are you, yourself of Hispanic or Latin origin or descent such as Mexican, Puerto Rican, Cuban, Dominican, Central or South American, Caribbean or some other Latin American background?"
2002,QN11_40,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,Q.11 What do you think are the two most important issues for the government to address?- Hispanic issues/help Hispanics
2002,QN12_88,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,Q.12 What do you think are the two most important health care issues for the government to address?- Pay more attention to Hispanics/Hispanic issues
2002,QN13,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.13 Based on your experience, do you think political leaders are interested in the problems of particular concern to Latinos/Hispanics living here, or not?"
2002,QN143,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,143. RECORD INTERVIEWER RACE
2002,QN1_QN7,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,Q1/Q7 Race Summary Table
2002,QN21A,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.21a How confident are you that Latino/Hispanic children growing up now in the United States... Will get a better education than you? Are you very confident, somewhat confident, not too confident,..."
2002,QN21B,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.21b How confident are you that Latino/Hispanic children growing up now in the United States... Will have better jobs and make more money than you? Are you very confident, somewhat confident, not ..."
2002,QN21C,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.21c How confident are you that Latino/Hispanic children growing up now in the United States... Will have the same moral values as you? Are you very confident, somewhat confident, not too confiden..."
2002,QN21D,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.21d How confident are you that Latino/Hispanic children growing up now in the United States... Will stay as close to their families as you? Are you very confident, somewhat confident, not too con..."
2002,QN27,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.27 What do you think of a guest worker proposal that would allow Latinos/Hispanics to enter the country legally and work here for a limited period of time, but then they would have to go home, wo..."
2002,QN28,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,Q.28 Do you think adult Latino/Hispanic immigrants need to learn to speak English to succeed in the US or can they succeed even if they only speak Spanish?
2002,QN29B,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,Q.29b Do you agree or disagree that you can be more successful in American workplaces if you do each of the following. How about... Get along with people of different races and cultures
2002,QN30,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.30 If you were talking to a Latino/Hispanic immigrant who had just arrived in this country, which of the following statements offers the best advice?"
2002,QN31,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,"Q.31 Again, which is the best advice to a recently arrived Latino/Hispanic immigrant?"
2002,QN32B,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,Q.32b People choose different terms to describe themselves. I'm going to read you a few different descriptions. Please tell me whether you have ever described yourself as any of the following-- A L...
2002,QN33A,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.33a You have said that you describe yourself as an American/Latino/Hispanic/Respondent/parent Country of origin? In general, which of the terms that you use to describe yourself is the term you u..."
2002,QN3A,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,Q.3a The terms Hispanic and Latino are both used to describe people who are of Hispanic or Latin origin or descent. Do you happen to prefer one of these terms more than the other?
2002,QN47B,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,Q.47b Please tell me if each of these has been a problem for you during the last 12 months? How about .... Having difficulty getting care because of your race or ethnic background
2002,QN57A,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.57a In general, do you think discrimination against Latinos/Hispanics is a major problem, minor problem, or not a problem in... schools"
2002,QN57B,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.57b In general, do you think discrimination against Latinos/Hispanics is a major problem, minor problem, or not a problem in... the workplace"
2002,QN57D,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.57d In general, do you think discrimination against Latinos/Hispanics is a major problem, minor problem, or not a problem in... preventing Latinos/Hispanics in general from succeeding in America"
2002,QN58,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.58 Do you think Latinos/Hispanics discriminating against other Latinos/Hispanics is a major problem, a minor problem or not a problem?"
2002,QN59,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.59 Do you think Latinos/Hispanics discriminate against each other mainly because Latinos/Hispanics come from different countries, have different levels of income and education, or because of diff..."
2002,QN5_10,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,"Q.5 What country did your parents, grandparents or ancestors come from?- Dominican Republic"
2002,QN5_31,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,"Q.5 What country did your parents, grandparents or ancestors come from?- Trinidad/Caribbean Islands"
2002,QN5_96,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,"Q.5 What country did your parents, grandparents or ancestors come from?- Not Really Hispanic/Latino"
2002,QN60,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.60 During the last 5 years, have you, a family member, or close friend experienced discrimination because of your racial or ethnic background, or not?"
2002,QN62A,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.62a In your day-to-day life, how often do any of the following things happen to you because of your racial or ethnic background? You are treated with less respect than other people."
2002,QN62B,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.62b In your day-to-day life, how often do any of the following things happen to you because of your racial or ethnic background? You receive poorer service than other peoplle at restaurants or st..."
2002,QN62C,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.62c In your day-to-day life, how often do any of the following things happen to you because of your racial or ethnic background? You are called names or insulted."
2002,QN63,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.63 Has there ever been a time when you have NOT been hired or promoted for a job because of your race or ethnic background, or has this not happened to you?"
2002,QN7,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.7 What race do you consider yourself to be? White, Black or African-American, Asian or some other race?"
2002,QN70,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,Q.70 Which comes closer to your views? Latinos/Hispanics from different countries...
2002,QN71,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,Q.71 Which comes closer to your views? Latinos/Hispanics from different countries...
2002,QN72,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.72 The US government has traditionally divided people into racial categories. Earlier you told me you were (Race in QN7), if you had a choice, would you prefer to call yourself (Race in QN7) or d..."
2002,QN73,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.73 Earlier you were asked what your race was and you said it was not one of the categories listed by the US government, but that it was some other race. What race is that?"
2002,QN74,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.74 Would you prefer that (Answer given in QN73) be one of the options given when you are asked about your race, or not?"
2002,QN76,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",YES - Long/complex label,Hispanic origin/ethnicity categories,"Q.76 Which party do you think has more concern for Latinos/Hispanics --the Democratic party, the Republican party, or is there no difference?"
2002,WEIGHTH,ethnicity_race,hispanic_origin,"1=Mexican, 2=Puerto Rican, 3=Cuban, 4=Other Hispanic, 5=Non-Hispanic",NO,Hispanic origin/ethnicity categories,Weight for Latinos only
2002,QN114,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,Q.114 RECORD GENDER
2002,QN12_58,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",YES - Long/complex label,Standard binary/ternary gender coding,Q.12 What do you think are the two most important health care issues for the government to address?- Insurance company/managed care determines payout
2002,QN12_59,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",YES - Long/complex label,Standard binary/ternary gender coding,Q.12 What do you think are the two most important health care issues for the government to address?- HMO-driven healthcare/too many/restrictive
2002,QN12_79,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",YES - Long/complex label,Standard binary/ternary gender coding,Q.12 What do you think are the two most important health care issues for the government to address?- Human cloning/cloning
2002,QN19B,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",YES - Long/complex label,Standard binary/ternary gender coding,"Q.19b Thinking about your own values and morals, I'd like you to tell me whether you think in general, it is acceptable or unacceptable. How about sex between two adults of the same sex?"
2002,QN23,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",YES - Long/complex label,Standard binary/ternary gender coding,"Q.23 Do you think there are too many, too few, or about the right amount of immigrants living in the United States today?"
2002,QN67,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,Q.67 How many years have you lived in the United States?
2002,QN93,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,"Q.93 Including yourself, how many people, live in your household?"
2002,QN94,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,"Q.94 Including yourself, how many people living in your household are OVER 18?"
2002,QN95,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,Q.95 How many people living in your household are UNDER 18?
2002,QN97,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,Q.97 How many adults in your household are currently employed?
2002,QND20,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,D20. RECORD GENDER OF INTERVIEWER
2002,RQN67,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,How many years have you lived in the U.S.?
2002,RQN67_1,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,How many years have you lived in the U.S.?
2002,RQN93,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,"Including yourself, how many people live in your household?"
2002,RQN94,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,"Including yourself, how many people living in your household are OVER 18?"
2002,RQN95,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,"Including yourself, how many people living in your household are UNDER 18?"
2002,RQN97,gender,gender,"1=Male, 2=Female, 3=Other/Non-binary",NO,Standard binary/ternary gender coding,How many people in your household are employed?
2002,FIPSCNTY,geography,geography,State/region codes,NO,Geographic location indicators,FIPS COUNTY CODE
2002,FIPSTATE,geography,geography,State/region codes,NO,Geographic location indicators,FIPS STATE CODE
2002,IDENT1,geography,geography,State/region codes,NO,Geographic location indicators,IDENT - REGION
2002,QN22A,geography,geography,State/region codes,YES - Long/complex label,Geographic location indicators,"Q.22a Overall would you say.... Treatment of the poor is better in the United States, better in country you/your parents/ancestors came from/Puerto Rico, or about the same?"
2002,QN22B,geography,geography,State/region codes,YES - Long/complex label,Geographic location indicators,"Q.22b Overall would you say.... The moral values of the society is better in the United States, better in country you/your parents/ancestors came from/Puerto Rico, or about the same?"
2002,QN22C,geography,geography,State/region codes,YES - Long/complex label,Geographic location indicators,"Q.22c Overall would you say.... The strength of family ties is better in the United States, better in country you/your parents/ancestors came from/Puerto Rico, or about the same?"
2002,QN22D,geography,geography,State/region codes,YES - Long/complex label,Geographic location indicators,"Q.22d Overall would you say.... Opportunity to get ahead is better in the United States, better in country you/your parents/ancestors came from/Puerto Rico, or about the same?"
2002,QN24,geography,geography,State/region codes,YES - Long/complex label,Geographic location indicators,Q.24 Some people think the United States should allow more Latin Americans to come work in this country LEGALLY; some people think the US should allow the same number; others think it should reduce...
2002,QN38,geography,geography,State/region codes,NO,Geographic location indicators,Q.38 Which of these statements come closest to expressing your view:
2002,QN9,geography,geography,State/region codes,NO,Geographic location indicators,Q.9 Which of the following statements do you agree with more - ...?
2002,REGION,geography,geography,State/region codes,NO,Geographic location indicators,Census Region
